created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2023-10-05T11:22:01-03:00,1,377,65535,65535,65535,969,,,,
2023-10-05T11:22:34-03:00,2,382,65535,65535,65535,969,,,,
2023-10-05T11:23:05-03:00,3,417,65535,65535,65535,969,,,,
2023-10-05T11:23:35-03:00,4,444,65535,65535,65535,969,,,,
2023-10-05T11:24:06-03:00,5,458,65535,65535,65535,969,,,,
2023-10-05T11:24:38-03:00,6,484,65535,65535,65535,969,,,,
2023-10-05T11:25:10-03:00,7,505,65535,65535,65535,969,,,,
2023-10-05T11:25:40-03:00,8,549,65535,65535,65535,970,,,,
2023-10-05T11:26:12-03:00,9,561,65535,65535,65535,970,,,,
2023-10-05T11:26:43-03:00,10,578,65535,65535,65535,970,,,,
2023-10-05T11:27:18-03:00,11,597,65535,65535,65535,970,,,,
2023-10-05T11:27:49-03:00,12,634,65535,65535,65535,970,,,,
2023-10-05T11:28:22-03:00,13,661,65535,65535,65535,970,,,,
2023-10-05T11:28:52-03:00,14,668,65535,65535,65535,970,,,,
2023-10-05T11:29:25-03:00,15,684,65535,65535,65535,970,,,,
2023-10-05T11:30:33-03:00,16,725,65535,65535,65535,970,,,,
2023-10-05T11:31:04-03:00,17,738,65535,65535,65535,970,,,,
2023-10-05T11:31:38-03:00,18,752,65535,65535,65535,970,,,,
2023-10-05T11:32:11-03:00,19,777,65535,65535,65535,970,,,,
2023-10-05T11:32:43-03:00,20,783,65535,65535,65535,970,,,,
2023-10-05T11:33:14-03:00,21,792,65535,65535,65535,970,,,,
2023-10-05T11:33:46-03:00,22,796,65535,65535,65535,970,,,,
2023-10-05T11:34:17-03:00,23,809,65535,65535,65535,970,,,,
2023-10-05T11:34:49-03:00,24,814,65535,65535,65535,970,,,,
2023-10-05T11:35:21-03:00,25,820,65535,65535,65535,970,,,,
2023-10-05T11:35:52-03:00,26,833,65535,65535,65535,970,,,,
2023-10-05T11:36:23-03:00,27,859,65535,65535,65535,970,,,,
2023-10-05T11:36:55-03:00,28,859,65535,65535,65535,970,,,,
2023-10-05T11:38:00-03:00,29,871,65535,65535,65535,970,,,,
2023-10-05T11:38:34-03:00,30,877,65535,65535,65535,970,,,,
2023-10-05T11:39:06-03:00,31,882,65535,65535,65535,970,,,,
2023-10-05T11:39:37-03:00,32,895,65535,65535,65535,970,,,,
2023-10-05T11:40:08-03:00,33,901,65535,65535,65535,970,,,,
2023-10-05T11:40:39-03:00,34,909,65535,65535,65535,970,,,,
2023-10-05T11:41:10-03:00,35,921,65535,65535,65535,970,,,,
2023-10-05T11:41:41-03:00,36,924,65535,65535,65535,970,,,,
2023-10-05T11:42:12-03:00,37,928,65535,65535,65535,970,,,,
2023-10-05T11:42:42-03:00,38,934,65535,65535,65535,970,,,,
2023-10-05T11:43:13-03:00,39,935,65535,65535,65535,970,,,,
2023-10-05T11:43:44-03:00,40,944,65535,65535,65535,971,,,,
2023-10-05T11:44:17-03:00,41,952,65535,65535,65535,971,,,,
2023-10-05T11:44:48-03:00,42,960,65535,65535,65535,971,,,,
