created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2023-10-12T09:42:31-03:00,1,297,65535,65535,65535,855,,,,
2023-10-12T09:43:01-03:00,2,329,65535,65535,65535,855,,,,
2023-10-12T09:43:32-03:00,3,349,65535,65535,65535,855,,,,
2023-10-12T09:44:06-03:00,4,378,65535,65535,65535,855,,,,
2023-10-12T09:44:36-03:00,5,418,65535,65535,65535,855,,,,
2023-10-12T09:45:11-03:00,6,430,65535,65535,65535,855,,,,
2023-10-12T09:45:42-03:00,7,435,65535,65535,65535,855,,,,
2023-10-12T09:46:13-03:00,8,435,65535,65535,65535,855,,,,
2023-10-12T09:46:44-03:00,9,435,65535,65535,65535,855,,,,
2023-10-12T09:47:16-03:00,10,435,65535,65535,65535,855,,,,
2023-10-12T09:47:47-03:00,11,435,65535,65535,65535,855,,,,
2023-10-12T09:48:18-03:00,12,435,65535,65535,65535,855,,,,
2023-10-12T09:48:49-03:00,13,435,65535,65535,65535,855,,,,
2023-10-12T09:49:20-03:00,14,435,65535,65535,65535,855,,,,
2023-10-12T09:49:54-03:00,15,435,65535,65535,65535,855,,,,
2023-10-12T09:50:25-03:00,16,435,65535,65535,65535,855,,,,
2023-10-12T09:51:29-03:00,17,435,65535,65535,65535,855,,,,
2023-10-12T09:52:00-03:00,18,435,65535,65535,65535,856,,,,
2023-10-12T09:52:31-03:00,19,435,65535,65535,65535,856,,,,
2023-10-12T09:53:03-03:00,20,435,65535,65535,65535,856,,,,
2023-10-12T09:53:34-03:00,21,435,65535,65535,65535,856,,,,
2023-10-12T09:54:07-03:00,22,435,65535,65535,65535,856,,,,
2023-10-12T09:55:13-03:00,23,435,65535,65535,65535,856,,,,
2023-10-12T09:55:45-03:00,24,435,65535,65535,65535,856,,,,
2023-10-12T09:56:17-03:00,25,435,65535,65535,65535,856,,,,
2023-10-12T09:56:47-03:00,26,435,65535,65535,65535,856,,,,
2023-10-12T09:57:18-03:00,27,435,65535,65535,65535,856,,,,
2023-10-12T09:57:50-03:00,28,435,65535,65535,65535,855,,,,
2023-10-12T09:58:21-03:00,29,435,65535,65535,65535,855,,,,
2023-10-12T09:58:52-03:00,30,435,65535,65535,65535,855,,,,
2023-10-12T10:00:22-03:00,31,545,65535,65535,65535,856,,,,
2023-10-12T10:00:52-03:00,32,555,65535,65535,65535,856,,,,
2023-10-12T10:01:23-03:00,33,555,65535,65535,65535,856,,,,
2023-10-12T10:02:27-03:00,34,457,65535,65535,65535,856,,,,
2023-10-12T10:02:57-03:00,35,424,65535,65535,65535,856,,,,
2023-10-12T10:03:35-03:00,36,397,65535,65535,65535,856,,,,
2023-10-12T10:07:57-03:00,37,241,65535,65535,65535,857,,,,
2023-10-12T10:08:28-03:00,38,376,65535,65535,65535,856,,,,
2023-10-12T10:08:59-03:00,39,387,65535,65535,65535,856,,,,
2023-10-12T10:09:38-03:00,40,400,65535,65535,65535,856,,,,
2023-10-12T10:10:11-03:00,41,414,65535,65535,65535,856,,,,
2023-10-12T10:10:45-03:00,42,421,65535,65535,65535,856,,,,
2023-10-12T10:11:57-03:00,43,447,65535,65535,65535,857,,,,
2023-10-12T10:12:32-03:00,44,452,65535,65535,65535,857,,,,
2023-10-12T10:13:04-03:00,45,464,65535,65535,65535,857,,,,
