created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2023-10-17T11:03:09-03:00,1,375,65535,65535,65535,858,,,,
2023-10-17T11:03:41-03:00,2,372,65535,65535,65535,858,,,,
2023-10-17T11:04:12-03:00,3,374,65535,65535,65535,858,,,,
2023-10-17T11:04:45-03:00,4,378,65535,65535,65535,858,,,,
2023-10-17T11:05:18-03:00,5,381,65535,65535,65535,859,,,,
2023-10-17T11:05:57-03:00,6,386,65535,65535,65535,858,,,,
2023-10-17T11:06:29-03:00,7,387,65535,65535,65535,859,,,,
2023-10-17T11:07:01-03:00,8,388,65535,65535,65535,859,,,,
2023-10-17T11:07:36-03:00,9,387,65535,65535,65535,859,,,,
2023-10-17T11:08:09-03:00,10,387,65535,65535,65535,859,,,,
2023-10-17T11:08:46-03:00,11,389,65535,65535,65535,859,,,,
2023-10-17T11:09:18-03:00,12,390,65535,65535,65535,859,,,,
2023-10-17T11:10:21-03:00,13,394,65535,65535,65535,859,,,,
2023-10-17T11:10:56-03:00,14,394,65535,65535,65535,859,,,,
2023-10-17T11:11:26-03:00,15,390,65535,65535,65535,859,,,,
2023-10-17T11:12:43-03:00,16,394,65535,65535,65535,859,,,,
2023-10-17T11:14:04-03:00,17,399,65535,65535,65535,859,,,,
2023-10-17T11:14:35-03:00,18,399,65535,65535,65535,859,,,,
2023-10-17T11:15:09-03:00,19,402,65535,65535,65535,859,,,,
2023-10-17T11:16:20-03:00,20,401,65535,65535,65535,859,,,,
2023-10-17T11:16:51-03:00,21,401,65535,65535,65535,859,,,,
2023-10-17T11:17:22-03:00,22,402,65535,65535,65535,859,,,,
2023-10-17T11:17:53-03:00,23,402,65535,65535,65535,859,,,,
2023-10-17T11:18:24-03:00,24,401,65535,65535,65535,859,,,,
2023-10-17T11:18:56-03:00,25,402,65535,65535,65535,859,,,,
2023-10-17T11:19:30-03:00,26,403,65535,65535,65535,859,,,,
2023-10-17T11:20:00-03:00,27,403,65535,65535,65535,859,,,,
2023-10-17T11:20:31-03:00,28,404,65535,65535,65535,859,,,,
2023-10-17T11:21:02-03:00,29,403,65535,65535,65535,859,,,,
2023-10-17T11:21:35-03:00,30,408,65535,65535,65535,859,,,,
2023-10-17T11:22:07-03:00,31,408,65535,65535,65535,859,,,,
2023-10-17T11:22:38-03:00,32,404,65535,65535,65535,859,,,,
2023-10-17T11:23:13-03:00,33,405,65535,65535,65535,859,,,,
2023-10-17T11:24:53-03:00,34,400,65535,65535,65535,859,,,,
2023-10-17T11:25:32-03:00,35,399,65535,65535,65535,859,,,,
