created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2023-10-19T12:49:38-03:00,1,65535,65535,65535,,882,,,,
2023-10-19T12:50:09-03:00,2,65535,65535,65535,,883,,,,
2023-10-19T12:50:42-03:00,3,65535,65535,65535,,883,,,,
2023-10-19T12:51:13-03:00,4,65535,65535,65535,,883,,,,
2023-10-19T12:51:44-03:00,5,65535,65535,65535,,883,,,,
2023-10-19T12:52:16-03:00,6,65535,65535,65535,,883,,,,
2023-10-19T12:52:47-03:00,7,65535,65535,65535,,883,,,,
2023-10-19T12:53:19-03:00,8,65535,65535,65535,,883,,,,
2023-10-19T12:53:51-03:00,9,65535,65535,65535,,883,,,,
2023-10-19T12:55:48-03:00,10,236,28,28,,883,,,,
2023-10-19T12:59:04-03:00,11,277,27,29,,883,,,,
2023-10-19T12:59:34-03:00,12,383,26,29,,884,,,,
2023-10-19T13:00:06-03:00,13,381,24,31,,884,,,,
2023-10-19T13:00:37-03:00,14,376,24,33,,884,,,,
2023-10-19T13:01:08-03:00,15,377,23,33,,884,,,,
2023-10-19T13:01:38-03:00,16,397,23,34,,884,,,,
2023-10-19T13:02:12-03:00,17,400,23,41,,884,,,,
2023-10-19T13:02:43-03:00,18,406,23,49,,884,,,,
2023-10-19T13:03:17-03:00,19,407,23,55,,885,,,,
2023-10-19T13:03:47-03:00,20,416,23,59,,885,,,,
2023-10-19T13:04:18-03:00,21,434,23,61,,885,,,,
2023-10-19T13:04:49-03:00,22,440,23,64,,885,,,,
2023-10-19T13:05:20-03:00,23,455,23,66,,885,,,,
2023-10-19T13:05:51-03:00,24,470,23,67,,885,,,,
2023-10-19T13:06:21-03:00,25,472,23,69,,885,,,,
2023-10-19T13:06:53-03:00,26,475,23,70,,885,,,,
2023-10-19T13:07:24-03:00,27,477,23,71,,885,,,,
2023-10-19T13:07:55-03:00,28,482,23,72,,885,,,,
2023-10-19T13:08:26-03:00,29,468,23,73,,886,,,,
2023-10-19T13:08:57-03:00,30,476,23,74,,886,,,,
2023-10-19T13:09:27-03:00,31,482,23,75,,886,,,,
2023-10-19T13:09:58-03:00,32,502,23,76,,886,,,,
2023-10-19T13:10:29-03:00,33,515,23,77,,886,,,,
2023-10-19T13:11:01-03:00,34,528,23,77,,886,,,,
2023-10-19T13:11:32-03:00,35,530,23,78,,886,,,,
2023-10-19T13:12:03-03:00,36,543,23,78,,886,,,,
2023-10-19T13:12:34-03:00,37,556,23,79,,886,,,,
2023-10-19T13:13:05-03:00,38,558,23,80,,886,,,,
2023-10-19T13:13:37-03:00,39,568,23,80,,886,,,,
2023-10-19T13:14:08-03:00,40,574,23,81,,887,,,,
2023-10-19T13:14:40-03:00,41,589,23,81,,887,,,,
2023-10-19T13:15:11-03:00,42,588,23,82,,886,,,,
2023-10-19T13:15:42-03:00,43,588,23,82,,886,,,,
2023-10-19T13:16:13-03:00,44,584,23,82,,886,,,,
2023-10-19T13:16:43-03:00,45,597,23,83,,886,,,,
2023-10-19T13:17:14-03:00,46,578,23,83,,886,,,,
2023-10-19T13:17:46-03:00,47,571,23,84,,886,,,,
2023-10-19T13:18:17-03:00,48,628,23,84,,886,,,,
2023-10-19T13:18:47-03:00,49,633,23,84,,885,,,,
2023-10-19T13:19:18-03:00,50,639,23,84,,885,,,,
2023-10-19T13:19:49-03:00,51,641,23,85,,886,,,,
2023-10-19T13:20:20-03:00,52,642,23,85,,886,,,,
2023-10-19T13:20:50-03:00,53,643,23,85,,886,,,,
