created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-04-09T11:18:24-03:00,1,26.73000,913.85999,665,37.56466,,2664.00000,835.77301,,,,
2024-04-09T11:18:56-03:00,2,26.74000,913.84003,663,37.54940,,2664.00000,835.97583,,,,
2024-04-09T11:19:28-03:00,3,26.97000,913.83002,665,37.33577,,2664.00000,836.11597,,,,
2024-04-09T11:19:58-03:00,4,27.14000,913.82001,665,37.11299,,2663.00000,836.18793,,,,
2024-04-09T11:21:36-03:00,5,26.93000,913.77002,656,36.97566,,2664.00000,836.61163,,,,
2024-04-09T11:22:10-03:00,6,26.97000,913.76001,651,36.86732,,2664.00000,836.75555,,,,
2024-04-09T11:22:41-03:00,7,27.06000,913.76001,652,36.79255,,2664.00000,836.69775,,,,
2024-04-09T11:23:15-03:00,8,26.89000,913.73999,650,36.97261,,2664.00000,836.85590,,,,
2024-04-09T11:24:59-03:00,9,26.48000,913.69000,627,36.91158,,2664.00000,837.33362,,,,
2024-04-09T11:29:08-03:00,10,26.60000,913.65002,632,36.83375,,2664.00000,837.71100,,,,
2024-04-09T11:32:35-03:00,11,25.35000,913.58002,616,37.49752,,2664.00000,838.32452,,,,
2024-04-09T11:34:20-03:00,12,24.89000,913.53998,608,37.64859,,2664.00000,838.70190,,,,
2024-04-09T11:34:51-03:00,13,24.88000,913.53003,605,37.52651,,2664.00000,838.79028,,,,
2024-04-09T11:35:25-03:00,14,25.04000,913.52002,603,37.44564,,2664.00000,838.87427,,,,
2024-04-09T11:35:58-03:00,15,25.09000,913.52002,604,37.31746,,2664.00000,838.86279,,,,
2024-04-09T11:36:32-03:00,16,24.78000,913.48999,602,37.32357,,2664.00000,839.19769,,,,
2024-04-09T11:37:05-03:00,17,24.61000,913.52002,598,37.58144,,2664.00000,838.91901,,,,
2024-04-09T11:37:37-03:00,18,24.72000,913.47998,598,37.51278,,2664.00000,839.24896,,,,
2024-04-09T11:38:09-03:00,19,24.98000,913.48999,598,37.38613,,2664.00000,839.19659,,,,
2024-04-09T11:38:41-03:00,20,25.03000,913.46997,603,37.35256,,2664.00000,839.34058,,,,
2024-04-09T11:39:12-03:00,21,25.22000,913.46997,602,37.25185,,2664.00000,839.38312,,,,
2024-04-09T11:39:43-03:00,22,25.41000,913.48999,605,37.05348,,2663.00000,839.15680,,,,
2024-04-09T11:40:17-03:00,23,25.40000,913.46997,605,36.98634,,2664.00000,839.38422,,,,
2024-04-09T11:42:31-03:00,24,25.16000,913.40997,597,36.70863,,2664.00000,839.84460,,,,
2024-04-09T11:43:02-03:00,25,25.36000,913.40997,596,36.59418,,2663.00000,839.93243,,,,
2024-04-09T11:43:33-03:00,26,25.62000,913.42999,597,36.50263,,2664.00000,839.73492,,,,
2024-04-09T11:44:06-03:00,27,25.78000,913.40997,594,36.37293,,2664.00000,839.87677,,,,
2024-04-09T11:44:42-03:00,28,25.88000,913.40997,594,36.10895,,2663.00000,839.90240,,,,
2024-04-09T11:45:15-03:00,29,25.95000,913.35999,596,35.92737,,2664.00000,840.32349,,,,
2024-04-09T11:45:46-03:00,30,26.11000,913.35999,597,35.94873,,2663.00000,840.38403,,,,
2024-04-09T11:46:19-03:00,31,26.18000,913.34003,592,35.71832,,2664.00000,840.51007,,,,
2024-04-09T11:46:51-03:00,32,26.19000,913.34003,590,35.64202,,2664.00000,840.52313,,,,
2024-04-09T11:47:23-03:00,33,26.21000,913.34003,593,35.59472,,2664.00000,840.52643,,,,
2024-04-09T11:47:54-03:00,34,26.29000,913.33002,594,35.51385,,2664.00000,840.60663,,,,
2024-04-09T11:48:27-03:00,35,26.54000,913.33002,598,35.32921,,2664.00000,840.57446,,,,
2024-04-09T11:48:59-03:00,36,26.60000,913.34998,598,35.16442,,2663.00000,840.39276,,,,
2024-04-09T11:49:32-03:00,37,26.61000,913.35999,595,34.97368,,2664.00000,840.38403,,,,
2024-04-09T11:50:03-03:00,38,26.82000,913.35999,594,34.72496,,2663.00000,840.36554,,,,
2024-04-09T11:50:35-03:00,39,26.86000,913.35999,595,34.54032,,2664.00000,840.33441,,,,
2024-04-09T11:51:10-03:00,40,26.91000,913.37000,593,34.42741,,2664.00000,840.21277,,,,
2024-04-09T11:51:41-03:00,41,26.97000,913.35999,592,34.32364,,2664.00000,840.38568,,,,
2024-04-09T11:52:12-03:00,42,26.98000,913.34003,595,34.03525,,2664.00000,840.52698,,,,
2024-04-09T11:52:45-03:00,43,27.07000,913.34998,591,33.88266,,2664.00000,840.44354,,,,
2024-04-09T11:53:17-03:00,44,26.74000,913.33002,581,33.80331,,2663.00000,840.62244,,,,
2024-04-09T11:53:49-03:00,45,26.79000,913.33002,582,33.62325,,2664.00000,840.60938,,,,
2024-04-09T11:54:27-03:00,46,26.40000,913.29999,582,33.53017,,2664.00000,840.90771,,,,
2024-04-09T11:54:58-03:00,47,25.98000,913.28998,580,33.51186,,2664.00000,840.96722,,,,
2024-04-09T11:55:31-03:00,48,26.05000,913.26001,581,33.47677,,2663.00000,841.20667,,,,
2024-04-09T11:59:49-03:00,49,26.56000,914.06000,713,31.52056,,2663.00000,834.03876,,,,
2024-04-09T12:00:20-03:00,50,25.66000,914.02002,718,34.49912,,2664.00000,834.40289,,,,
2024-04-09T12:00:52-03:00,51,25.00000,913.92999,723,37.11757,,2664.00000,835.14435,,,,
2024-04-09T12:01:24-03:00,52,24.51000,913.90997,730,38.86168,,2663.00000,835.39734,,,,
2024-04-09T12:01:59-03:00,53,24.17000,913.83002,737,39.79248,,2663.00000,836.05981,,,,
2024-04-09T12:02:31-03:00,54,23.88000,913.79999,740,40.17701,,2664.00000,836.33301,,,,
