created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2023-11-28T11:59:48-03:00,1,356,27,48,765,30,41,959,,,,
2023-11-28T12:00:19-03:00,2,356,27,48,240,29,43,959,,,,
2023-11-28T12:00:50-03:00,3,356,27,48,699,28,45,959,,,,
2023-11-28T12:01:22-03:00,4,356,27,48,226,28,46,959,,,,
2023-11-28T12:01:53-03:00,5,356,27,48,737,28,46,960,,,,
2023-11-28T12:02:24-03:00,6,356,27,48,360,28,51,959,,,,
2023-11-28T12:02:56-03:00,7,356,27,48,500,28,56,959,,,,
2023-11-28T12:03:27-03:00,8,356,27,48,781,28,59,959,,,,
2023-11-28T12:03:59-03:00,9,356,27,48,326,28,61,959,,,,
2023-11-28T12:04:31-03:00,10,356,27,48,603,28,63,959,,,,
2023-11-28T12:05:03-03:00,11,356,27,48,555,28,65,959,,,,
2023-11-28T12:05:34-03:00,12,356,27,48,653,28,66,959,,,,
2023-11-28T12:06:05-03:00,13,356,27,48,521,28,67,958,,,,
2023-11-28T12:06:37-03:00,14,356,27,48,775,28,68,958,,,,
2023-11-28T12:07:09-03:00,15,356,27,48,413,28,68,958,,,,
2023-11-28T12:07:40-03:00,16,356,27,48,940,28,69,959,,,,
2023-11-28T12:08:11-03:00,17,356,27,48,479,29,70,958,,,,
2023-11-28T12:08:44-03:00,18,356,27,48,972,29,70,958,,,,
2023-11-28T12:09:15-03:00,19,356,27,48,697,29,71,958,,,,
2023-11-28T12:09:46-03:00,20,356,27,48,607,29,71,959,,,,
2023-11-28T12:10:18-03:00,21,356,27,48,1024,29,71,959,,,,
2023-11-28T12:10:50-03:00,22,356,27,48,507,29,72,959,,,,
2023-11-28T12:11:21-03:00,23,356,27,48,866,29,72,959,,,,
2023-11-28T12:11:53-03:00,24,356,27,48,987,29,73,959,,,,
2023-11-28T12:12:24-03:00,25,356,27,48,522,29,73,959,,,,
2023-11-28T12:12:56-03:00,26,356,27,48,997,29,73,959,,,,
2023-11-28T12:13:28-03:00,27,356,27,48,961,29,74,959,,,,
2023-11-28T12:13:59-03:00,28,356,27,48,611,29,74,959,,,,
2023-11-28T12:14:30-03:00,29,356,27,48,1087,29,74,959,,,,
2023-11-28T12:15:03-03:00,30,356,27,48,607,29,75,960,,,,
2023-11-28T12:15:34-03:00,31,356,27,48,964,29,75,960,,,,
2023-11-28T12:16:05-03:00,32,356,27,48,1054,29,75,960,,,,
2023-11-28T12:16:37-03:00,33,356,27,48,650,29,76,959,,,,
2023-11-28T12:17:09-03:00,34,356,27,48,1100,29,76,959,,,,
2023-11-28T12:17:40-03:00,35,356,27,48,764,29,76,959,,,,
2023-11-28T12:18:12-03:00,36,356,27,48,664,29,76,959,,,,
2023-11-28T12:18:43-03:00,37,356,27,48,1086,29,77,959,,,,
2023-11-28T12:19:15-03:00,38,356,27,48,800,29,77,959,,,,
2023-11-28T12:19:46-03:00,39,356,27,48,704,29,77,959,,,,
2023-11-28T12:20:18-03:00,40,356,27,48,1031,29,77,959,,,,
2023-11-28T12:20:49-03:00,41,356,27,48,1196,29,78,959,,,,
2023-11-28T12:21:22-03:00,42,356,27,48,791,29,78,959,,,,
2023-11-28T12:21:53-03:00,43,356,27,48,907,29,78,960,,,,
2023-11-28T12:22:25-03:00,44,356,27,48,1241,29,78,960,,,,
2023-11-28T12:22:56-03:00,45,356,27,48,1159,29,79,959,,,,
2023-11-28T12:23:29-03:00,46,356,27,48,782,29,79,960,,,,
2023-11-28T12:24:00-03:00,47,356,27,48,989,29,79,959,,,,
2023-11-28T12:24:31-03:00,48,356,27,48,1203,29,80,960,,,,
2023-11-28T12:25:03-03:00,49,356,27,48,820,29,80,960,,,,
2023-11-28T12:25:35-03:00,50,356,27,48,1142,29,80,960,,,,
2023-11-28T12:26:06-03:00,51,356,27,48,1228,29,81,960,,,,
2023-11-28T12:26:38-03:00,52,356,27,48,901,29,81,960,,,,
2023-11-28T12:27:09-03:00,53,356,27,48,1089,29,81,959,,,,
2023-11-28T12:27:41-03:00,54,356,27,48,1280,29,81,959,,,,
2023-11-28T12:28:13-03:00,55,356,27,48,957,29,82,959,,,,
2023-11-28T12:28:44-03:00,56,356,27,48,925,29,82,959,,,,
2023-11-28T12:29:15-03:00,57,356,27,48,1298,29,82,960,,,,
2023-11-28T12:29:51-03:00,58,356,27,48,1359,29,82,960,,,,
2023-11-28T12:30:22-03:00,59,356,27,48,1359,29,82,960,,,,
2023-11-28T12:30:58-03:00,60,356,27,48,1359,29,82,961,,,,
2023-11-28T12:31:29-03:00,61,356,27,48,1359,29,82,961,,,,
2023-11-28T12:32:04-03:00,62,356,27,48,1359,29,82,961,,,,
