created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-03-26T11:14:42-03:00,1,23.32000,908.81000,904,93.95285,,2664.00000,881.62024,,,,
2024-03-26T11:15:13-03:00,2,23.40000,908.84998,896,92.04242,,2664.00000,881.25714,,,,
2024-03-26T11:15:47-03:00,3,23.47000,908.97998,894,90.19455,,2664.00000,880.09283,,,,
2024-03-26T11:16:53-03:00,4,23.58000,909.29999,879,86.87114,,2664.00000,877.15210,,,,
2024-03-26T11:17:24-03:00,5,23.62000,909.34003,871,85.16670,,2664.00000,876.79675,,,,
2024-03-26T11:17:59-03:00,6,23.65000,909.34998,868,83.92004,,2664.00000,876.73987,,,,
2024-03-26T11:18:32-03:00,7,23.68000,909.34003,863,82.42771,,2664.00000,876.83508,,,,
2024-03-26T11:19:04-03:00,8,23.70000,909.33002,863,81.27108,,2664.00000,876.89532,,,,
2024-03-26T11:19:38-03:00,9,23.72000,909.34003,865,80.20599,,2664.00000,876.86469,,,,
2024-03-26T11:20:11-03:00,10,23.73000,909.33002,865,79.17601,,2664.00000,876.96484,,,,
2024-03-26T11:20:42-03:00,11,23.75000,909.33002,867,78.24216,,2664.00000,876.89917,,,,
2024-03-26T11:21:13-03:00,12,23.76000,909.32001,866,77.36935,,2664.00000,877.05243,,,,
2024-03-26T11:21:47-03:00,13,23.76000,909.31000,864,76.64606,,2664.00000,877.11047,,,,
2024-03-26T11:22:19-03:00,14,23.77000,909.29999,865,75.90601,,2664.00000,877.16522,,,,
2024-03-26T11:22:52-03:00,15,23.78000,909.28998,867,75.07896,,2664.00000,877.25446,,,,
2024-03-26T11:23:26-03:00,16,23.79000,909.28998,861,74.48844,,2664.00000,877.30096,,,,
2024-03-26T11:23:58-03:00,17,23.79000,909.28998,857,73.74685,,2664.00000,877.29059,,,,
2024-03-26T11:24:35-03:00,18,23.80000,909.29999,857,73.27535,,2664.00000,877.23145,,,,
2024-03-26T11:25:06-03:00,19,23.80000,909.29999,860,72.66804,,2664.00000,877.19092,,,,
2024-03-26T11:26:52-03:00,20,23.81000,909.28998,868,71.10857,,2664.00000,877.30371,,,,
2024-03-26T11:30:51-03:00,21,23.84000,909.34998,862,68.56184,,2664.00000,876.77710,,,,
2024-03-26T11:31:25-03:00,22,23.84000,909.35999,862,68.19104,,2664.00000,876.61938,,,,
2024-03-26T11:31:59-03:00,23,23.85000,909.38000,864,67.90875,,2664.00000,876.48309,,,,
2024-03-26T11:32:38-03:00,24,23.85000,909.39001,866,67.60662,,2664.00000,876.35608,,,,
2024-03-26T11:33:09-03:00,25,23.85000,909.39001,858,67.31670,,2664.00000,876.41028,,,,
2024-03-26T11:33:42-03:00,26,23.86000,909.39001,852,67.15190,,2664.00000,876.38403,,,,
2024-03-26T11:34:16-03:00,27,23.86000,909.39001,852,66.90623,,2664.00000,876.38403,,,,
2024-03-26T11:34:47-03:00,28,23.87000,909.40002,851,66.71397,,2664.00000,876.29315,,,,
2024-03-26T11:35:18-03:00,29,23.87000,909.40002,849,66.55222,,2664.00000,876.33093,,,,
2024-03-26T11:35:57-03:00,30,23.88000,909.39001,850,66.28672,,2664.00000,876.40430,,,,
2024-03-26T11:37:05-03:00,31,23.88000,909.40002,852,65.90982,,2664.00000,876.32050,,,,
2024-03-26T11:37:37-03:00,32,23.88000,909.40002,853,65.79233,,2664.00000,876.26196,,,,
2024-03-26T11:38:07-03:00,33,23.88000,909.40002,851,65.58633,,2664.00000,876.28058,,,,
2024-03-26T11:38:38-03:00,34,23.89000,909.40002,851,65.47494,,2664.00000,876.32104,,,,
2024-03-26T11:39:10-03:00,35,23.90000,909.39001,851,65.30556,,2664.00000,876.34351,,,,
