created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2023-11-09T12:18:25-03:00,1,499,24,22,320,24,23,0,,,,
2023-11-09T12:18:57-03:00,2,487,24,22,485,24,23,0,,,,
2023-11-09T12:19:28-03:00,3,465,24,22,429,24,23,0,,,,
2023-11-09T12:19:59-03:00,4,453,24,23,437,23,23,0,,,,
2023-11-09T12:20:31-03:00,5,471,24,23,430,23,23,0,,,,
2023-11-09T12:21:57-03:00,6,496,26,20,468,26,20,0,,,,
2023-11-09T12:22:28-03:00,7,529,25,21,460,25,21,0,,,,
2023-11-09T12:23:00-03:00,8,528,24,22,496,24,22,0,,,,
2023-11-09T12:23:31-03:00,9,509,24,22,505,24,23,0,,,,
2023-11-09T12:24:02-03:00,10,471,24,23,498,24,23,0,,,,
2023-11-09T12:41:08-03:00,11,574,24,58,508,25,47,0,,,,
2023-11-09T12:41:39-03:00,12,613,24,56,509,24,54,0,,,,
2023-11-09T12:42:10-03:00,13,652,24,62,538,24,59,0,,,,
2023-11-09T12:42:42-03:00,14,668,24,66,560,24,63,0,,,,
2023-11-09T12:43:13-03:00,15,722,24,71,559,24,66,0,,,,
2023-11-09T12:43:44-03:00,16,746,24,74,543,24,68,0,,,,
2023-11-09T12:44:16-03:00,17,751,24,76,579,24,69,0,,,,
2023-11-09T12:44:47-03:00,18,717,24,78,591,24,71,0,,,,
2023-11-09T12:45:18-03:00,19,658,24,79,579,24,72,0,,,,
2023-11-09T12:45:49-03:00,20,602,24,79,562,24,73,0,,,,
2023-11-09T12:46:21-03:00,21,627,24,80,557,24,73,0,,,,
2023-11-09T12:46:52-03:00,22,707,24,81,579,24,74,0,,,,
2023-11-09T12:47:24-03:00,23,744,24,81,584,24,75,0,,,,
2023-11-09T12:47:55-03:00,24,750,24,82,553,24,75,0,,,,
2023-11-09T12:48:26-03:00,25,759,24,82,570,24,76,0,,,,
2023-11-09T12:48:57-03:00,26,761,24,83,605,24,76,0,,,,
2023-11-09T12:49:29-03:00,27,764,24,83,595,24,77,0,,,,
2023-11-09T12:50:00-03:00,28,763,24,83,559,24,77,0,,,,
2023-11-09T12:50:31-03:00,29,776,24,84,542,24,78,0,,,,
2023-11-09T12:51:03-03:00,30,781,24,84,579,24,78,0,,,,
2023-11-09T12:51:34-03:00,31,783,24,85,598,24,79,0,,,,
